h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.06970297278064777,0.36059113835673257,1.744142309167858,0.17334838562741609
1,15.0,20.0,0.10773159788999985,0.3710317833147666,1.8250363579043307,0.25424243436388905
2,20.0,25.0,0.14109567062092074,0.3815542845695403,1.8696680583039835,0.2988741347635414
3,25.0,30.0,0.17662208834921106,0.3946685932134207,1.9132090578808119,0.34241513434036963
4,30.0,35.0,0.209656631987487,0.4127596702931602,1.9498415139078644,0.37904759036742264
5,35.0,40.0,0.2379925476944749,0.4285760325537546,1.9481092664828141,0.3773153429423725
6,40.0,45.0,0.27110566801502267,0.44758885096132967,2.018404617476792,0.4476106939363499
7,45.0,50.0,0.3063486223794024,0.4723028355831076,2.1050413960172363,0.5342474724767947
8,50.0,55.0,0.34199753409422745,0.5004312055627717,2.2307982760122327,0.6600043524717908
9,55.0,60.0,0.3758700683503231,0.5327900195455085,2.3701704989228434,0.7993765753824016
10,60.0,65.0,0.4044358355673661,0.5685553606682219,2.4914162569481415,0.9206223334076998
11,65.0,70.0,0.42966914857880467,0.6055884236898226,2.5970058072944546,1.0262118837540126
