h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.0186999291253926,0.3595930940134313,1.5587257591206518,0.01014010037374043
1,15.0,20.0,0.02607649651441538,0.3592494606786659,1.5660641491654481,0.017478490418537364
2,20.0,25.0,0.033562659597508884,0.3589810364786859,1.572713509544269,0.024127850797357898
3,25.0,30.0,0.04178250588036999,0.3588721176571466,1.586790308846588,0.038204650099676885
4,30.0,35.0,0.049976810194959045,0.3590655024266451,1.5923184850162095,0.043732826269298454
5,35.0,40.0,0.05763480470575792,0.3592205059695565,1.5981667001581166,0.04958104141120583
6,40.0,45.0,0.06505518694613002,0.3592145132909558,1.6059455421370097,0.057359883390098204
7,45.0,50.0,0.07274500592059517,0.3591552551181911,1.6132654463318368,0.06467978758492589
8,50.0,55.0,0.07817505694210916,0.3589808086503442,1.6218046235908294,0.07321896484391857
9,55.0,60.0,0.08746912530860707,0.3591259452800672,1.6313946518742384,0.08280899312732729
10,60.0,65.0,0.09470874379190632,0.3591978837193529,1.6392253598555409,0.09063970110862941
11,65.0,70.0,0.10269568562335485,0.3596345818334557,1.6547390553562635,0.10615339660935248
