h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.1170486339472079,0.34564615929367837,1.556775815584013,-0.01401810446672732
1,15.0,20.0,0.17052280245481757,0.3415222404691602,1.5801188571405251,0.009324937089784532
2,20.0,25.0,0.2218199960227396,0.3377918072407201,1.6058693633762846,0.03507544332554411
3,25.0,30.0,0.27285494388447323,0.3365745425259623,1.6344606578805305,0.06366673782979032
4,30.0,35.0,0.32309156192378247,0.33518206026734665,1.6645432828560747,0.09374936280533433
5,35.0,40.0,0.37775837630143383,0.33866867022652053,1.6987561411275562,0.12796222107681612
6,40.0,45.0,0.43047172287076785,0.34156168776152357,1.7312163196746357,0.16042239962389565
7,45.0,50.0,0.48588054631563266,0.3496846899082591,1.7695269287011959,0.19873300865045582
8,50.0,55.0,0.507463616013299,0.3420093250593008,1.8144789673269335,0.2436850472761931
9,55.0,60.0,0.5886049242372347,0.3512841296808817,1.850424669441001,0.2796307493902601
10,60.0,65.0,0.6409509400145482,0.36544469203075836,1.8777285844040363,0.3069346643532962
11,65.0,70.0,0.6921834030280444,0.3798855182584511,1.9210577766500503,0.35026385659931003
