h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.09697413660900206,0.34601970972965873,1.498626244775052,0.0018420464719953178
1,15.0,20.0,0.13577264107241757,0.3393101794378526,1.491580578932399,-0.005203619370657351
2,20.0,25.0,0.1764576710941043,0.33290546259431686,1.4821443478450878,-0.01463985045796861
3,25.0,30.0,0.21630028658742567,0.3260604597563227,1.4813397153875396,-0.01544448291551666
4,30.0,35.0,0.2576523641711563,0.3200907153826316,1.494908687312655,-0.0018755109904016432
5,35.0,40.0,0.2944911159262802,0.3143407604817603,1.4995396447286242,0.0027554464255675117
6,40.0,45.0,0.32944456675382433,0.3062629705485961,1.5070363217367915,0.010252123433734772
7,45.0,50.0,0.3675161830206853,0.29514346394683966,1.4971432002369451,0.00035900193388856973
8,50.0,55.0,0.41366153058390515,0.2858751084248883,1.5097822489140054,0.012998050610948766
9,55.0,60.0,0.45487040634188936,0.28046673498262836,1.5227674923240828,0.02598329402102652
10,60.0,65.0,0.49439011337010663,0.276215854314332,1.5291106892206983,0.03232649091764197
11,65.0,70.0,0.5347032327453909,0.27336506643607733,1.5472008226485514,0.050416624345494716
