h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.04860598789049455,0.35757030671604184,1.5047828510046912,-0.06601105359526116
1,15.0,20.0,0.06795665040687403,0.35595338483976596,1.4840758448850138,-0.08671805971493837
2,20.0,25.0,0.08694056898474532,0.35396743755571924,1.456482029452942,-0.11431187514701019
3,25.0,30.0,0.10599632100404718,0.35217117680249366,1.443169026460813,-0.12762487813913972
4,30.0,35.0,0.12513910637486925,0.3487347717409683,1.4277115127314692,-0.14308239186848326
5,35.0,40.0,0.14084649954080722,0.3459026990979389,1.4185726746650618,-0.15222122993489065
6,40.0,45.0,0.1587993516618234,0.34304376882915866,1.3998716321186249,-0.17092227248132744
7,45.0,50.0,0.17624961907869893,0.3395774505869921,1.381283460259879,-0.18951044434007383
8,50.0,55.0,0.19478299748294525,0.3356603105266299,1.355261472492289,-0.2155324321076635
9,55.0,60.0,0.21452480251339676,0.3310947070445215,1.332651669711324,-0.2381422348886283
10,60.0,65.0,0.23223457156290292,0.3263124708162707,1.3065779355617666,-0.2642159690381857
11,65.0,70.0,0.2508987231887888,0.32110817745269765,1.273684186394407,-0.2971097182055456
