h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08447897998558254,0.3604221523939003,1.6982562201974876,0.12746229884937615
1,15.0,20.0,0.12229167996046447,0.364660298698905,1.7960932932166758,0.2252993718685641
2,20.0,25.0,0.1608400530719838,0.37379603711318216,1.8980068165508046,0.32721289520269325
3,25.0,30.0,0.1978440861710687,0.38597630407582023,2.0018625115662356,0.4310685902181241
4,30.0,35.0,0.23332396119583293,0.4021616029288884,2.1042119456267216,0.5334180242786097
5,35.0,40.0,0.2669041016894776,0.4213242235625308,2.209205686695775,0.6384117653476636
6,40.0,45.0,0.2992913639856855,0.4456261527992199,2.320293671168981,0.7494997498208698
7,45.0,50.0,0.3324383075087472,0.476599659613916,2.425992561452851,0.8551986401047397
8,50.0,55.0,0.36438290047751976,0.47842155077196785,2.5269103384943152,0.9561164171462038
9,55.0,60.0,0.4106254485706242,0.5156239801228727,2.622440648902985,1.0516467275548735
10,60.0,65.0,0.4294071645803817,0.5511129802417948,2.7232918393074748,1.152497917959363
11,65.0,70.0,0.4453052271896107,0.5878522571217139,2.8252914574735963,1.2544975361254846
