h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.10350956297660593,0.3583772909026362,1.5093024755338282,-0.02584339645646587
1,15.0,20.0,0.13846687664202495,0.3561889355765783,1.4910132328826031,-0.044132639107690295
2,20.0,25.0,0.16224028282608155,0.354484308120707,1.4775160271213452,-0.0576298448689489
3,25.0,30.0,0.20268673888119085,0.3429389541508406,1.4667252051970647,-0.0684206667932293
4,30.0,35.0,0.23647704540841236,0.3389171665967534,1.458769596524438,-0.07637627546585578
5,35.0,40.0,0.27237743555946636,0.33459360081369427,1.4422962541498712,-0.09284961784042273
6,40.0,45.0,0.3071860551264826,0.3299710630045013,1.4287726022562564,-0.10637326973403742
7,45.0,50.0,0.34156130797666234,0.3262183501763236,1.418020802867303,-0.11712506912299124
8,50.0,55.0,0.3759133787455914,0.3209121524750237,1.4061014516971204,-0.12904442029317328
9,55.0,60.0,0.4111012151603526,0.315606907367509,1.3985179108153916,-0.13662796117490267
10,60.0,65.0,0.4466402380192517,0.31134548490607133,1.392646384808659,-0.14249948718163502
11,65.0,70.0,0.4805101196954984,0.3053952151048808,1.3836805385278366,-0.15146533346245727
