h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08057716455157582,0.348965021061652,1.2932982654770648,-0.268947981800199
1,15.0,20.0,0.10513628961969107,0.3385529789954105,1.2013248721770695,-0.3609213751001941
2,20.0,25.0,0.13259150794023852,0.32256513232643885,1.107213195877229,-0.45503305140003475
3,25.0,30.0,0.15457256559510346,0.30484813017010093,1.009210657629116,-0.553035589648148
4,30.0,35.0,0.1792296427019467,0.2860127381235325,0.9017082363269887,-0.6605380109502748
5,35.0,40.0,0.19998595582617187,0.26770944045709855,0.7946022661092667,-0.7676439811679973
6,40.0,45.0,0.2205107270803596,0.24462911557424735,0.7044161289413169,-0.857830118335947
7,45.0,50.0,0.23789487974781284,0.2207868346962945,0.6255026132448505,-0.9367436340324136
8,50.0,55.0,0.25891773680226515,0.19943971742123637,0.5429379473948466,-1.0193082998824172
9,55.0,60.0,0.2792217172309306,0.1767373204813519,0.4593179367562828,-1.1029283105209808
10,60.0,65.0,0.29378912426333875,0.1530759924931839,0.37636648817313334,-1.1858797591041303
11,65.0,70.0,0.3040961510758644,0.12626586013059118,0.29667010933528265,-1.265576137941981
