h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08684009523940409,0.36128548963402407,1.5864395822261619,0.05076921842649157
1,15.0,20.0,0.12198698887914718,0.36123369588611953,1.59447159572544,0.05880123192576894
2,20.0,25.0,0.16046633886033,0.36002911685370864,1.6004178389349497,0.06474747513527881
3,25.0,30.0,0.17817158443492978,0.3500580473676528,1.6185605783901127,0.08289021459044235
4,30.0,35.0,0.22552837907353215,0.35030266523217607,1.6311415067332666,0.09547114293359618
5,35.0,40.0,0.26101330382770394,0.3576818425793827,1.6379968751659968,0.10232651136632595
6,40.0,45.0,0.29775564901330165,0.36510417476085183,1.6417215996402503,0.1060512358405794
7,45.0,50.0,0.33150459320918585,0.36998388889269795,1.6500948731938159,0.11442450939414528
8,50.0,55.0,0.36862706501012704,0.37522633958344975,1.6682582682517972,0.13258790445212643
9,55.0,60.0,0.4037253209340505,0.3824288648111937,1.6837192599990647,0.14804889619939401
10,60.0,65.0,0.4412135506711158,0.3882602057560077,1.6952684391372193,0.15959807533754852
11,65.0,70.0,0.4742906662363272,0.3959904057873309,1.704979325482297,0.1693089616826262
