h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.09142210011040186,0.3714125962842357,1.6802096331207215,0.14329625532422582
1,15.0,20.0,0.12882249024122042,0.37950042603571094,1.7343160430659659,0.19740266526947065
2,20.0,25.0,0.18138411253863945,0.38739632006812064,1.7939614954899081,0.2570481176934128
3,25.0,30.0,0.21019135236826186,0.37570746617743955,1.8479356980189383,0.31102232022244247
4,30.0,35.0,0.24949928247249598,0.37899956051939543,1.8963510446224567,0.3594376668259608
5,35.0,40.0,0.28562834312734264,0.400964854810112,1.9457391367977925,0.4088257590012969
6,40.0,45.0,0.3225971602054887,0.42629536197209833,1.9892722873057889,0.45235890950929347
7,45.0,50.0,0.35835107173498204,0.44640408682456384,2.0395665863637102,0.5026532085672152
8,50.0,55.0,0.39442540191855485,0.47073396544439866,2.087650511286068,0.5507371334895725
9,55.0,60.0,0.4277940427666411,0.4986062850273542,2.148716593728185,0.6118032159316894
10,60.0,65.0,0.4605813953799636,0.5272195892158504,2.2149409668299644,0.6780275890334689
11,65.0,70.0,0.4942960457259977,0.5594577456219773,2.2720957329003917,0.7351823551038962
