h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08062400602961244,0.3597338723417358,1.5154462227636987,-0.05534770178561013
1,15.0,20.0,0.11689721905532872,0.35432790391373814,1.5089921754249611,-0.06180174912434789
2,20.0,25.0,0.14843095060932146,0.3457905167042364,1.4946051571153007,-0.07618876743400799
3,25.0,30.0,0.17150249082894697,0.33621271559117516,1.4880614071990943,-0.08273251735021443
4,30.0,35.0,0.21783889799432266,0.3284233733252727,1.4830825048423506,-0.08771141970695821
5,35.0,40.0,0.25304116744202787,0.3269863800417278,1.4753159393220934,-0.09547798522721576
6,40.0,45.0,0.28564532927615,0.3237529698855803,1.470344298170659,-0.10044962637865024
7,45.0,50.0,0.32071936157205144,0.3212314299713785,1.470831262162003,-0.09996266238730542
8,50.0,55.0,0.35456145859020466,0.31828507638852477,1.4607255191006356,-0.11006840544867266
9,55.0,60.0,0.3893720380024325,0.31521208962038955,1.4554554319098896,-0.11533849263941938
10,60.0,65.0,0.42597531501220265,0.3113864984978305,1.449249095642365,-0.12154482890694362
11,65.0,70.0,0.4615863234647923,0.3093702707351612,1.4405292947984958,-0.13026462975081288
