h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08546387190215725,0.3632194215472813,1.5896821272949282,0.04481316675160145
1,15.0,20.0,0.12056532916386468,0.36571554428480824,1.609535813624598,0.0646668530812713
2,20.0,25.0,0.1625880685739015,0.3625498640336303,1.6260563361174762,0.08118737557414979
3,25.0,30.0,0.18194728434485297,0.3519723266214257,1.6443008719982697,0.09943191145494269
4,30.0,35.0,0.22914171430862593,0.3560822778269699,1.671625492456345,0.12675653191301817
5,35.0,40.0,0.2686998270323579,0.36738617071225926,1.6946971775326964,0.14982821698936977
6,40.0,45.0,0.3038925316780705,0.3722172739223929,1.7131235953772377,0.1682546348339108
7,45.0,50.0,0.3379877975291326,0.38327123126285534,1.7346562155564573,0.18978725501313037
8,50.0,55.0,0.37414642387791663,0.39333220906696303,1.758088582468719,0.21321962192539193
9,55.0,60.0,0.41239391535317715,0.4021476856167251,1.803445595466565,0.25857663492323835
10,60.0,65.0,0.44581696421661576,0.4159295885621551,1.8277771903158477,0.2829082297725208
11,65.0,70.0,0.47952534096134747,0.42944699089124455,1.845993427590292,0.3011244670469655
