h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08514444302269433,0.35055800909477935,1.5244258023258388,-0.04521474654809702
1,15.0,20.0,0.12433571278738773,0.3466327582631071,1.5677181060143155,-0.001922442859620077
2,20.0,25.0,0.16453163306672894,0.3451414501664477,1.6127255013151705,0.043084952441235363
3,25.0,30.0,0.20402886007820203,0.3462829235871293,1.6657867973222948,0.09614624844835941
4,30.0,35.0,0.2436618896923785,0.34814921844113406,1.697415200628316,0.12777465175438033
5,35.0,40.0,0.2875386201271101,0.3517439968001838,1.710992647347544,0.14135209847360855
6,40.0,45.0,0.32699982364693186,0.3559383061375575,1.7359249886191412,0.16628443974520624
7,45.0,50.0,0.362041549429224,0.3593813051058937,1.7702708794824937,0.20063033060855834
8,50.0,55.0,0.39644377676103004,0.3600727464857041,1.8059856038990632,0.23634505502512798
9,55.0,60.0,0.44613441279907834,0.3679905086805868,1.8295162674142724,0.2598757185403367
10,60.0,65.0,0.4864502433849385,0.3781290207811535,1.8492058607071888,0.2795653118332535
11,65.0,70.0,0.5264552181674214,0.38776427078138426,1.8831290705151869,0.3134885216412516
