h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08191913912366702,0.3589043734143768,1.5992677806041222,0.02847386102630426
1,15.0,20.0,0.1178536719509422,0.3573487491197828,1.63351402624044,0.06272010666262212
2,20.0,25.0,0.15401261375904046,0.35814469916613023,1.6729750287387346,0.10218110916091622
3,25.0,30.0,0.1921993981668668,0.3610379455380365,1.7118682126969307,0.1410742931191126
4,30.0,35.0,0.2283093124950261,0.3650574663946521,1.741553449592193,0.17075953001437447
5,35.0,40.0,0.2648108994988115,0.36961132764930893,1.7712956233333899,0.20050170375557158
6,40.0,45.0,0.30218378069742724,0.37547697929296425,1.7944960748634966,0.22370215528567847
7,45.0,50.0,0.3444980673747498,0.381713080424002,1.817240582484893,0.24644666290707473
8,50.0,55.0,0.36751164267797615,0.38035789615851884,1.854211501776292,0.28341758219847374
9,55.0,60.0,0.41025744379220286,0.38862953678993234,1.8890043597573314,0.31821044017951333
10,60.0,65.0,0.44762874090067406,0.39985003341761055,1.9238537784131804,0.35305985883536245
11,65.0,70.0,0.4843209630749892,0.41245972483942817,1.9529622943476863,0.38216837476986804
