h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08974638343761723,0.3560596047345566,1.546772531626926,-0.02402139211391723
1,15.0,20.0,0.12903346807932117,0.353087132648863,1.5533016098011811,-0.017492313939662656
2,20.0,25.0,0.1668723864152573,0.3509293178341488,1.5514282776095016,-0.01936564613134166
3,25.0,30.0,0.2048590525961188,0.3485632212510461,1.5542028594250332,-0.016591064315809968
4,30.0,35.0,0.24354509855894932,0.3453197556325008,1.5533714220903334,-0.017422501650510003
5,35.0,40.0,0.2822666824951925,0.34282548421045933,1.556251687592846,-0.014542236147998034
6,40.0,45.0,0.3211690687240911,0.34057729719313007,1.5691486600830382,-0.0016452636578048808
7,45.0,50.0,0.3608221331696535,0.33764539593388565,1.5702072381127419,-0.0005866856281016685
8,50.0,55.0,0.3820484481166716,0.33142452700631325,1.5709444561801396,0.0001505324392961893
9,55.0,60.0,0.43601754018176975,0.3254903642415202,1.5697946048059337,-0.0009993189349102427
10,60.0,65.0,0.47567174854088684,0.3246517556500472,1.5771346241315771,0.00634070039073362
11,65.0,70.0,0.5150443898370177,0.32406901095262647,1.5864076810934973,0.015613757352653553
