h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.09543789442744473,0.3492883266045027,1.5203940573663082,0.012161302135561164
1,15.0,20.0,0.13566111144245607,0.3455811752140048,1.5323767059373032,0.024143950706556457
2,20.0,25.0,0.17714848741411454,0.34201246551904096,1.5482249629306666,0.03999220769991955
3,25.0,30.0,0.21974946683954147,0.3389070413088826,1.5614471149029856,0.05321435967223885
4,30.0,35.0,0.2589286814755651,0.3359688114397742,1.563263641044356,0.05503088581360968
5,35.0,40.0,0.29985836964104723,0.3329376223174312,1.5797852761002078,0.07155252086946141
6,40.0,45.0,0.341775906078651,0.33149675806353474,1.6037550029870684,0.09552224775632168
7,45.0,50.0,0.3894589031392562,0.32892781079342276,1.6152308635389157,0.10699810830816896
8,50.0,55.0,0.4240457612506103,0.31933905787533273,1.6236651327298468,0.11543237749910011
9,55.0,60.0,0.4696008830140537,0.31578512823495136,1.6434996549269854,0.1352668996962389
10,60.0,65.0,0.5105070773800012,0.31757520403758294,1.661500560977511,0.15326780574676396
11,65.0,70.0,0.5529097769132562,0.3195356585064357,1.669559838216947,0.16132708298620027
