h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.06934168698915023,0.35740321677333825,1.3393904517625634,-0.231403470315756
1,15.0,20.0,0.0936850391303432,0.3529436232746466,1.252222199004801,-0.3185717230735181
2,20.0,25.0,0.11625319666511225,0.3458027380572512,1.1723212703062664,-0.39847265177205293
3,25.0,30.0,0.1447996064477782,0.33206011972153376,1.080746213893053,-0.4900477081852662
4,30.0,35.0,0.1705498891960647,0.31458326723677926,0.9885889539017445,-0.5822049681765749
5,35.0,40.0,0.1953371659891101,0.29638298446629385,0.896080996340861,-0.6747129257374584
6,40.0,45.0,0.2190407361019716,0.27830429908977344,0.8014993738840482,-0.7692945481942711
7,45.0,50.0,0.2393865832316535,0.2545217412728224,0.7159644168384619,-0.8548295052398575
8,50.0,55.0,0.26135170126489504,0.22832389376145354,0.6325167360558939,-0.9382771860224256
9,55.0,60.0,0.2807076235332231,0.2037298650423511,0.5494807309054516,-1.021313191172868
10,60.0,65.0,0.2979974542802373,0.18125667494868225,0.4814753073209588,-1.0893186147573604
11,65.0,70.0,0.31273653362484155,0.15771433306383875,0.4113080434936914,-1.159485878584628
