h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07673046266285859,0.3731880065719254,1.7268864822059298,0.15609255662429436
1,15.0,20.0,0.11392544934773419,0.38457460695666207,1.826462629162899,0.25566870358126365
2,20.0,25.0,0.16064516472419665,0.3995369179616906,1.9393305392466076,0.3685366136649722
3,25.0,30.0,0.18805729155384973,0.4033483059568108,2.049271886039502,0.47847796045786717
4,30.0,35.0,0.24357394886252653,0.4141514937606257,2.14702404359383,0.576230118012195
5,35.0,40.0,0.2876474137783195,0.44886498410702885,2.2713228912976375,0.7005289657160023
6,40.0,45.0,0.3250940770732281,0.4869257982512879,2.431916732536161,0.8611228069545261
7,45.0,50.0,0.35539300658486134,0.5292996270069495,2.5922225740035083,1.0214286484218729
8,50.0,55.0,0.3804748744137934,0.5701981393490905,2.7397314288783705,1.1689375032967357
9,55.0,60.0,0.4002092697222262,0.6115714662919849,2.8779504068138437,1.3071564812322092
10,60.0,65.0,0.4095652938722386,0.6560630002880573,3.0102912573497345,1.4394973317680992
11,65.0,70.0,0.4157885410757259,0.6984985130507906,3.0937495466894864,1.5229556211078512
