h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.018729229702787436,0.36121795747911095,1.577302421081975,0.00650849874410832
1,15.0,20.0,0.027149110385937827,0.36115303240038676,1.5840376573740682,0.013243735036201167
2,20.0,25.0,0.03454816698424816,0.36105984877798825,1.5922696411793382,0.021475718841470735
3,25.0,30.0,0.04217762166436046,0.36097580634170223,1.5987175002296832,0.027923577891815876
4,30.0,35.0,0.050029204014354095,0.36105218740008377,1.6045707840888932,0.03377686175102599
5,35.0,40.0,0.05814156607977174,0.36119522168621676,1.6102727660540272,0.03947884371616047
6,40.0,45.0,0.06522820403649968,0.36125919507146115,1.6137682339358903,0.04297431159802322
7,45.0,50.0,0.07369372500548099,0.3613847136318091,1.6214704166592133,0.05067649432134612
8,50.0,55.0,0.07874459604079552,0.3611830090971175,1.6254428482927687,0.054648925954901534
9,55.0,60.0,0.0871182767949533,0.36127734721135896,1.6314916304591016,0.06069770812123492
10,60.0,65.0,0.09445865063778128,0.3614488643917884,1.6393986390659459,0.06860471672807901
11,65.0,70.0,0.10105010880984942,0.3617086432894049,1.644777374483158,0.07398345214529105
