h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.21098859564061442,0.32670658272955194,1.6027582998722805,0.12943248591989692
1,15.0,20.0,0.2887156120977838,0.3187024098963775,1.6497486152472198,0.17642280129483645
2,20.0,25.0,0.3686183656631003,0.3182611123575455,1.6836486336730778,0.2103228197206942
3,25.0,30.0,0.4462061667368621,0.3247124918122806,1.7377700384852384,0.2644442245328548
4,30.0,35.0,0.5266536661371486,0.32906314023370387,1.814176158094319,0.3408503441419356
5,35.0,40.0,0.6014836594110988,0.33634599405463406,1.8458008718818004,0.37247505792941693
6,40.0,45.0,0.6609002447178228,0.3442661355422187,1.900014057782206,0.42668824382982273
7,45.0,50.0,0.770316556841809,0.35037629040908463,1.9722730043598367,0.49894719040745295
8,50.0,55.0,0.8424396573056818,0.36498245336763546,2.022258960924581,0.5489331469721977
9,55.0,60.0,0.9170199136913335,0.3918972136363808,2.0787908417981575,0.6054650278457737
10,60.0,65.0,0.994198512041065,0.42453532780040887,2.1619939796957954,0.688668165743412
11,65.0,70.0,1.0728285375415334,0.4637600942490907,2.2155703023802995,0.7422444884279158
