h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.12009494281300859,0.354152096976622,1.584725276357066,0.05769284030929407
1,15.0,20.0,0.16001156038503808,0.3515143111558703,1.6112784275499181,0.08424599150214661
2,20.0,25.0,0.19966081724941576,0.35238650900664825,1.6458643834085063,0.11883194736073471
3,25.0,30.0,0.23894534727476988,0.3538781333894796,1.6702668196937398,0.14323438364596827
4,30.0,35.0,0.27680650475103374,0.3563243345963621,1.6985342270567565,0.17150179100898483
5,35.0,40.0,0.3175180042658168,0.35982076506741867,1.7287503827189061,0.20171794667113457
6,40.0,45.0,0.345874220690769,0.3597085746116008,1.7689775055638335,0.24194506951606218
7,45.0,50.0,0.40540453874660903,0.36141937211329017,1.7994870856844962,0.2724546496367245
8,50.0,55.0,0.44354132500988025,0.3683096913042751,1.8287467878213706,0.30171435177359895
9,55.0,60.0,0.480696875093197,0.38030046283769237,1.8751767945306868,0.348144358482915
10,60.0,65.0,0.5188424688853268,0.39173705242216506,1.9126629014495584,0.385630465401787
11,65.0,70.0,0.5578030688255641,0.40539812098904116,1.9559108679617896,0.42887843191401764
