h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.0323950386452164,0.3596375181558772,1.4712033806051719,-0.09959053897264843
1,15.0,20.0,0.045702031547094846,0.3589496506679051,1.4382244602139516,-0.13256945936386916
2,20.0,25.0,0.05772392344985447,0.358879047564781,1.4084578058058361,-0.1623361137719845
3,25.0,30.0,0.06937832008122741,0.3569239163422519,1.3797455494352315,-0.19104837014258907
4,30.0,35.0,0.08169099049788425,0.35439291182491034,1.3515242384362387,-0.21926968114158246
5,35.0,40.0,0.09422137501237651,0.3515239851375222,1.3224653851095394,-0.2483285344682813
6,40.0,45.0,0.10835421723488209,0.34867060473159195,1.2936839733723013,-0.27710994620551915
7,45.0,50.0,0.12277389302102126,0.3452020481144137,1.2540632070991276,-0.316730712478693
8,50.0,55.0,0.13795264956536074,0.33975895116147875,1.219080879834864,-0.3517130397429565
9,55.0,60.0,0.15430522763364057,0.33346477509688555,1.1868161077598116,-0.38397781181800894
10,60.0,65.0,0.17042817121674084,0.3269641915068114,1.1358189862301789,-0.4349749333476416
11,65.0,70.0,0.18439386087876952,0.3191764680576095,1.0929116340563778,-0.4778822855214427
