h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07717345513023541,0.35727254140179243,1.646434590924813,0.12598842385681294
1,15.0,20.0,0.11202723053375341,0.35915398550125643,1.7036381044411422,0.18319193737314218
2,20.0,25.0,0.14567921184452196,0.36218844379846304,1.7465211120297695,0.22607494496176955
3,25.0,30.0,0.17791630664192395,0.36716919825340194,1.7989936834911637,0.2785475164231641
4,30.0,35.0,0.2107271926952644,0.37404469920734734,1.8536299330133263,0.33318376594532606
5,35.0,40.0,0.24360635074212655,0.38162080764267486,1.8985391080956773,0.37809294102767765
6,40.0,45.0,0.276855900138829,0.39170708174970975,1.9506683796425761,0.43022221257457666
7,45.0,50.0,0.3133260543204821,0.4045381066621489,2.005088870419184,0.4846427033511837
8,50.0,55.0,0.3474878608398005,0.4180116896583063,2.0576706472710327,0.5372244802030326
9,55.0,60.0,0.3659976738194776,0.41281837338165844,2.107895092763375,0.5874489256953755
10,60.0,65.0,0.4078166287413721,0.43437373907205845,2.162627216684038,0.6421810496160378
11,65.0,70.0,0.4356056281978005,0.45165438259555685,2.215615439468071,0.6951692724000712
