h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.09284740152665255,0.3542322923414063,1.5202057009881205,0.024148231487442072
1,15.0,20.0,0.12792452237085,0.3503942242749297,1.5305128859579356,0.03445541645725718
2,20.0,25.0,0.1667383635200721,0.34776539825672337,1.5312447619977179,0.03518729249703907
3,25.0,30.0,0.2056939015501963,0.3451111438949036,1.5351414195816269,0.03908395008094843
4,30.0,35.0,0.2421081109979945,0.34282637488278456,1.5423048217901174,0.046247352289438944
5,35.0,40.0,0.2772610708777183,0.34028102377871505,1.5638596591328362,0.06780218963215798
6,40.0,45.0,0.3122826748196866,0.33868558098712936,1.5880979379617628,0.09204046846108425
7,45.0,50.0,0.3581834807541678,0.338577227857586,1.5948657296535445,0.09880826015286598
8,50.0,55.0,0.3797931257716274,0.3348166120362459,1.6086429940533653,0.11258552455268708
9,55.0,60.0,0.41495538104215607,0.3356312410926956,1.6314216625976696,0.13536419309699135
10,60.0,65.0,0.45169160038936307,0.33748541702106044,1.6765168671277928,0.18045939762711435
11,65.0,70.0,0.48847499815198725,0.3420108460361474,1.6992033443290695,0.20314587482839105
