h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.098356331111343,0.355062082430846,1.598901511648398,0.08008009643530097
1,15.0,20.0,0.1395927553747891,0.35443923080393275,1.6285962852806006,0.10977487006750346
2,20.0,25.0,0.18106742118328104,0.35533732538261553,1.666367859093057,0.14754644387996027
3,25.0,30.0,0.22159927973116172,0.3573724166862138,1.7020237642233382,0.18320234901024118
4,30.0,35.0,0.26288589341512325,0.3610254033682681,1.721309501522222,0.20248808630912493
5,35.0,40.0,0.3050614135548076,0.36501612654199245,1.738512889706532,0.21969147449343532
6,40.0,45.0,0.3501163571683986,0.3706868879330938,1.76466353055872,0.24584211534562286
7,45.0,50.0,0.3864669068763583,0.37644589929270195,1.819347948527286,0.30052653331418916
8,50.0,55.0,0.42935903298473876,0.37834823401711737,1.8624578533545124,0.3436364381414155
9,55.0,60.0,0.4709376937286682,0.383632934178782,1.886999342167826,0.3681779269547289
10,60.0,65.0,0.5105243982676686,0.3974536096253379,1.9047347759742563,0.38591336076115934
11,65.0,70.0,0.5509690887534202,0.4104865219380967,1.9506088128739643,0.4317873976608675
