h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07760452972418651,0.353402520617189,1.5578553829362418,0.019589569338549814
1,15.0,20.0,0.10797599711285093,0.3516422186737415,1.5701509470798714,0.031885133482179515
2,20.0,25.0,0.14086176954599394,0.3505624892552444,1.5852050981142987,0.04693928451660685
3,25.0,30.0,0.17138453914897384,0.35117854490468,1.6005401740527996,0.06227436045510773
4,30.0,35.0,0.20252729456021265,0.3506291061162479,1.6171758894525252,0.07891007585483313
5,35.0,40.0,0.23422356041328193,0.3519824359502442,1.63839708117477,0.10013126757707806
6,40.0,45.0,0.2661402470415524,0.35387436370419173,1.6369247122635378,0.09865889866584591
7,45.0,50.0,0.30255052631973134,0.35528231212186834,1.6522260051974704,0.11396019159977866
8,50.0,55.0,0.32408845269631137,0.35435953741721243,1.6537340695172131,0.1154682559195206
9,55.0,60.0,0.3598846525850372,0.3562970513412666,1.6538295421985152,0.11556372860082305
10,60.0,65.0,0.39112562868325473,0.3590440995287766,1.6636501739137572,0.12538436031606562
11,65.0,70.0,0.4245910256844981,0.3624846432052456,1.6619170636334124,0.12365125003572094
