h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08227444897339924,0.35575976984125846,1.6416339313456216,0.07084001173520324
1,15.0,20.0,0.12012378178772995,0.3557276285565796,1.6621515966717768,0.09135767706135824
2,20.0,25.0,0.15873727554188627,0.359021806314441,1.699648327512905,0.12885440790248648
3,25.0,30.0,0.19893756878043295,0.3637850220072899,1.7329817384321031,0.1621878188216848
4,30.0,35.0,0.2379696175147089,0.36856924286712095,1.7721177334171372,0.20132381380671863
5,35.0,40.0,0.2776715665481824,0.37492021270873643,1.820393464415606,0.24959954480518737
6,40.0,45.0,0.3202045149195727,0.384986634165216,1.8662904141059733,0.2954964944955549
7,45.0,50.0,0.3560806204790323,0.3898563811788244,1.8980143608421096,0.32722044123169136
8,50.0,55.0,0.3976370024738879,0.3958632303311332,1.9259399635898222,0.3551460439794037
9,55.0,60.0,0.4325366440275862,0.407081594507002,1.9526095538584014,0.3818156342479824
10,60.0,65.0,0.469356886724607,0.42122276009733733,1.9777599392540524,0.40696601964363377
11,65.0,70.0,0.5061328197110143,0.4363356411737088,2.0149164027368998,0.44412248312648145
