h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07344363162883744,0.35668433122033255,1.517553511623788,-0.053240408982178564
1,15.0,20.0,0.10948136901903538,0.3530698352738558,1.4847059184915141,-0.08608800211445257
2,20.0,25.0,0.14223693015844996,0.3485812155347348,1.4697961726292723,-0.10099774797669411
3,25.0,30.0,0.1758934085705817,0.3447443952836791,1.4439845810727923,-0.12680933953317433
4,30.0,35.0,0.21043317641643447,0.3394011654084935,1.4197080232894024,-0.15108589731656422
5,35.0,40.0,0.2461084631024206,0.3312507556224402,1.3873262014204122,-0.18346771918555438
6,40.0,45.0,0.2817938986855105,0.32356223684068935,1.3567552692374607,-0.21403865136850542
7,45.0,50.0,0.31450180558546864,0.3137111020201515,1.320746379041633,-0.2500475415643336
8,50.0,55.0,0.3500438706061793,0.30353895664620695,1.3079154545535838,-0.2628784660523825
9,55.0,60.0,0.3865394953928256,0.29346676347074074,1.285453181492464,-0.2853407391135025
10,60.0,65.0,0.42217080294874676,0.2821196619043124,1.2525715941028928,-0.31822232650307364
11,65.0,70.0,0.4584050869885024,0.27002370146232624,1.2066296088961883,-0.3641643117097779
