h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.13122860908657288,0.35375697531193206,1.6195072833721809,0.10338063033982388
1,15.0,20.0,0.17838528837037235,0.35408971903774017,1.6557006750277992,0.1395740219954421
2,20.0,25.0,0.22472527217120727,0.35566791718868374,1.6925205133900163,0.17639386035765917
3,25.0,30.0,0.269507333477534,0.3594260585230837,1.7426358331654515,0.22650918013309468
4,30.0,35.0,0.3155771381776826,0.365676928610228,1.7895204203061956,0.27339376727383863
5,35.0,40.0,0.3603691711225439,0.37302361408831236,1.8268449144880357,0.3107182614556785
6,40.0,45.0,0.4113386644520659,0.38263484227440936,1.8774251695930346,0.3612985165606777
7,45.0,50.0,0.4288894863392504,0.37230011525270973,1.9137952309891944,0.39766857795683763
8,50.0,55.0,0.5119386077644613,0.38109247662303103,1.9497329924802835,0.43360633944792654
9,55.0,60.0,0.5491165897002038,0.3921188234878653,1.9956315009869758,0.4795048479546189
10,60.0,65.0,0.5955278940290047,0.4118510760046518,2.058440209476078,0.5423135564437211
11,65.0,70.0,0.6387874333083072,0.4316106934691899,2.088320523263547,0.5721938702311905
