h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07645867871313404,0.3426644609968948,1.2987246042425604,-0.19470957684793747
1,15.0,20.0,0.09996036627389732,0.3340590571414241,1.221166955950504,-0.27226722513999335
2,20.0,25.0,0.12281538266506767,0.32393649006163583,1.1328714455584699,-0.3605627355320277
3,25.0,30.0,0.14731514108084573,0.3122085180496156,1.047212736879536,-0.44622144421096166
4,30.0,35.0,0.1724882625435228,0.3004151771464769,0.9565125547074785,-0.5369216263830192
5,35.0,40.0,0.19292956689509985,0.2815463288049383,0.8565918540585821,-0.6368423270319155
6,40.0,45.0,0.21601601991704508,0.2624271843359261,0.7465264577055354,-0.7469077233849625
7,45.0,50.0,0.23280902159896427,0.2422388655829426,0.6539629311389001,-0.8394712499515977
8,50.0,55.0,0.2499845281208518,0.2201309343887934,0.560988556741381,-0.9324456243491166
9,55.0,60.0,0.2671292365581235,0.19910351955896977,0.47824822905015013,-1.0151859520403475
10,60.0,65.0,0.28332621970722516,0.18111905810292114,0.40982085657769596,-1.0836133245128015
11,65.0,70.0,0.29646237732528236,0.15909069288595318,0.3245905980734702,-1.1688435830170276
