h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08577806058047603,0.3691655024101148,1.772961369573628,0.2021674649736757
1,15.0,20.0,0.12534946540679523,0.3811580512377091,1.8605122310762021,0.2897183264762496
2,20.0,25.0,0.1698923912433839,0.3946883461357721,1.94837694723255,0.3775830426325972
3,25.0,30.0,0.2016222600465162,0.39931286736994553,2.037199848372822,0.46640594377286904
4,30.0,35.0,0.2566292416551515,0.41192897879531515,2.142066113226121,0.5712722086261688
5,35.0,40.0,0.300945120656187,0.446233936632038,2.2802104015780644,0.709416496978112
6,40.0,45.0,0.3369618326422957,0.4866315230718966,2.433755924087776,0.8629620194878236
7,45.0,50.0,0.3739765708250586,0.5277442693529537,2.5696389483661757,0.9988450437662231
8,50.0,55.0,0.4016409358736772,0.5667779913552777,2.6895365891174667,1.1187426845175144
9,55.0,60.0,0.424645759816632,0.6114090548434075,2.7974352522966415,1.2266413476966898
10,60.0,65.0,0.44341032752088116,0.6559787464825678,2.905347991010464,1.3345540864105103
11,65.0,70.0,0.459587481067488,0.6993902698864596,3.0112000039004347,1.4404060993004817
