h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.06400784063971197,0.34517372808782265,1.3027712004056051,-0.26802272409748423
1,15.0,20.0,0.08921720169700514,0.3396786518524696,1.22057782711124,-0.3502160973918494
2,20.0,25.0,0.11312448470069093,0.3303664458668545,1.1229674036427229,-0.4478265208603664
3,25.0,30.0,0.1336398507398565,0.32214766412199586,1.0126746194653609,-0.5581193050377284
4,30.0,35.0,0.16068460372459772,0.3077359275681026,0.9039340805708099,-0.6668598439322794
5,35.0,40.0,0.18306149638950248,0.28850521494971143,0.7939817959711674,-0.7768121285319219
6,40.0,45.0,0.20388873381462255,0.26848343643415423,0.7019285639090511,-0.8688653605940382
7,45.0,50.0,0.22188224078332244,0.2478764513859982,0.6140281739670272,-0.9567657505360622
8,50.0,55.0,0.2411704644482791,0.22588329782695218,0.5313956483468866,-1.0393982761562028
9,55.0,60.0,0.2583569465431212,0.20357944636100353,0.44270845705396217,-1.1280854674491272
10,60.0,65.0,0.26805666983292864,0.18112332745834958,0.36148485266844366,-1.2093090718346455
11,65.0,70.0,0.27497972240983504,0.15144565802865842,0.26907474827910005,-1.3017191762239892
