h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07187960034728672,0.36794607016540015,1.5703725550360963,-0.00042136486789658536
1,15.0,20.0,0.10840680961261276,0.3697449047680514,1.5841596778354938,0.013365757931500603
2,20.0,25.0,0.14452506013773228,0.36981379166803263,1.6030570307576213,0.032263110853627965
3,25.0,30.0,0.17595276332954243,0.36276229140757316,1.6299864759507463,0.05919255604675286
4,30.0,35.0,0.21574275947442206,0.3577097583552388,1.6544265272991752,0.08363260739518213
5,35.0,40.0,0.2507830553578168,0.3665261429993813,1.675788132147519,0.10499421224352588
6,40.0,45.0,0.29066795346048185,0.3754109289716097,1.6938836200468332,0.12308970014284
7,45.0,50.0,0.32645864358919563,0.38312418701049666,1.7118677487026783,0.14107382879868507
8,50.0,55.0,0.3611838672787821,0.39191742912707567,1.7294889422139854,0.15869502230999236
9,55.0,60.0,0.3947182212523034,0.4002770970655082,1.7517945165950406,0.1810005966910474
10,60.0,65.0,0.4289162559198126,0.4113884588259068,1.7732531371482383,0.20245921724424487
11,65.0,70.0,0.4619839790147996,0.4235349915430091,1.7839750462786856,0.21318112637469233
