h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.09080249091116112,0.36131634488105846,1.599769385924755,0.06479568525859093
1,15.0,20.0,0.13273516243243427,0.36538052329790843,1.6407733886524505,0.1057996879862864
2,20.0,25.0,0.168594013403732,0.3670418539995012,1.6734454150249782,0.13847171435881436
3,25.0,30.0,0.19259609728650548,0.3578748621931839,1.6980500563913623,0.1630763557251981
4,30.0,35.0,0.24303961885731543,0.3583484060485217,1.732729680839383,0.19775598017321905
5,35.0,40.0,0.27406802071152864,0.3677527836316257,1.762004727132339,0.227031026466175
6,40.0,45.0,0.3123583221446198,0.3812514287124457,1.7899158623258513,0.25494216165968697
7,45.0,50.0,0.347118369103374,0.3938082338923976,1.8209349760735225,0.28596127540735805
8,50.0,55.0,0.38287002550690113,0.4091437877851799,1.8537422444770815,0.31876854381091724
9,55.0,60.0,0.4172727518706872,0.42397796520570075,1.8830132113352347,0.3480395106690704
10,60.0,65.0,0.4513196159867789,0.44193919010293814,1.9159445050782318,0.3809708044120675
11,65.0,70.0,0.48450758057071786,0.46163218753870994,1.9413055105068526,0.4063318098406888
