h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.09570108725620473,0.37245682737064006,1.522389899194182,-0.022598807774802752
1,15.0,20.0,0.11802929297281547,0.37573707151782487,1.5296270167135668,-0.015361690255417665
2,20.0,25.0,0.1398369154669019,0.37893258642275257,1.5197630273803995,-0.025225679588585005
3,25.0,30.0,0.16447305710948248,0.3779895066859076,1.4989633924692394,-0.04602531449974562
4,30.0,35.0,0.18569549457348586,0.3829224930839041,1.5060902874368869,-0.038898419532097585
5,35.0,40.0,0.20504740430292617,0.38842071840939113,1.5338835393609687,-0.01110516760801613
6,40.0,45.0,0.2274796539964474,0.3925636676438237,1.5321997047006612,-0.012789002268323356
7,45.0,50.0,0.24969407471186306,0.3938792139443524,1.5326545768608741,-0.012334130108110561
8,50.0,55.0,0.2899625496535641,0.393140836667722,1.4777946633884054,-0.06719404358057933
9,55.0,60.0,0.29999407385396765,0.3882557351050634,1.4681598064755832,-0.07682890049340127
10,60.0,65.0,0.3251204592345735,0.3882890824363141,1.4655593385165253,-0.07942936845245926
11,65.0,70.0,0.3479229378239215,0.38676291189031375,1.4621606602323232,-0.08282804673666133
