h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.03091181273527001,0.350283264738445,1.5231819354356018,0.023676727389061947
1,15.0,20.0,0.05389079368051864,0.3453048453149141,1.5432906025099364,0.04378539446339711
2,20.0,25.0,0.0796360521857928,0.3362512112448921,1.5820148070337907,0.08250959898725134
3,25.0,30.0,0.10311921814513408,0.32979104017374733,1.5922720306215548,0.09276682257501517
4,30.0,35.0,0.1242302104217429,0.3229394087636095,1.6030349796442378,0.1035297715976979
5,35.0,40.0,0.14434683376353744,0.31884767879765497,1.6080381651297495,0.10853295708320947
6,40.0,45.0,0.1708316422522419,0.31179380331578666,1.6592754670059537,0.1597702589594138
7,45.0,50.0,0.19480909371920624,0.3054713563168911,1.6983579529965638,0.19885274495002392
8,50.0,55.0,0.22279106774964041,0.3018883773043363,1.7228804011936896,0.22337519314714985
9,55.0,60.0,0.2443240763612362,0.2933433369205609,1.7259753981522326,0.22647019010569303
10,60.0,65.0,0.26237410369431396,0.28948886962497217,1.728077616023085,0.2285724079765453
11,65.0,70.0,0.2903235956352461,0.28490592736063935,1.7769962994099329,0.277491091363393
