h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.009020914167089217,0.3537098362323676,1.7881908096256995,0.21739688746354202
1,15.0,20.0,-0.014038134506698162,0.3493678834161818,1.8825032113851168,0.3117092892229592
2,20.0,25.0,-0.019295977576571748,0.3440986742490966,1.966069435981946,0.39527551381978837
3,25.0,30.0,-0.024247118823074825,0.3380747876960165,2.047294186444853,0.47650026428269565
4,30.0,35.0,-0.028748725296735132,0.3321762553921026,2.1271669216916758,0.5563729995295182
5,35.0,40.0,-0.0323837350601663,0.3263174082859876,2.198455194476284,0.627661272314126
6,40.0,45.0,-0.035350417003115045,0.3202917134632587,2.2755935218073575,0.7047995996452001
7,45.0,50.0,-0.03706910762263493,0.31524771512732586,2.3547087990155218,0.7839148768533645
8,50.0,55.0,-0.04196737257878941,0.30195652084765634,2.433285359565037,0.8624914374028789
9,55.0,60.0,-0.0383081263252428,0.2969147740973016,2.5209679049226477,0.9501739827604898
10,60.0,65.0,-0.0390308968141157,0.2902985005199363,2.6088550369882495,1.038061114826092
11,65.0,70.0,-0.040611735735162545,0.28283740419003356,2.7019302853414406,1.1311363631792828
