h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.07187740040044609,0.36049483337711835,1.4240379671113217,-0.14675595548018094
1,15.0,20.0,-0.09580150298922206,0.3626477024685996,1.3579073352697129,-0.2128865873217898
2,20.0,25.0,-0.12221610466184642,0.3676043751492196,1.2932548692812904,-0.27753905331021256
3,25.0,30.0,-0.14700515408246623,0.37362734979533685,1.2312572463290852,-0.3395366762624177
4,30.0,35.0,-0.1716192727720099,0.3815857185208584,1.1754405110352943,-0.3953534115562085
5,35.0,40.0,-0.195431660444015,0.39070350057175957,1.1080453042966198,-0.4627486182948829
6,40.0,45.0,-0.21653594466522358,0.3998086516773924,1.033967106409992,-0.5368268161815108
7,45.0,50.0,-0.23716253859914957,0.4099213678835585,0.9497711058559422,-0.6210228167355606
8,50.0,55.0,-0.2627817161763902,0.4249846670755797,0.8891661771403997,-0.6816277454511034
9,55.0,60.0,-0.28483571578010525,0.43771092207178014,0.8407933090346527,-0.7300006135568502
10,60.0,65.0,-0.3042976615774345,0.4548193737827492,0.7839064634521578,-0.7868874591393451
11,65.0,70.0,-0.3223365621401295,0.470672623677234,0.7198197496118923,-0.8509741729796103
