h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.14020763458659632,0.39029778324603553,-1.256083569958588,0.3023626171369279
1,15.0,20.0,0.18141450481863727,0.4110027622517093,-1.1449501893029426,0.41349599779257334
2,20.0,25.0,0.2206635880096739,0.43677413463451414,-1.0490140338725993,0.5094321532229168
3,25.0,30.0,0.2560782933610299,0.46457817930646955,-0.9659317943807416,0.5925143927147745
4,30.0,35.0,0.28960288699526787,0.49562097899760305,-0.8659594836276089,0.6924867034679069
5,35.0,40.0,0.3210437819992733,0.5304314638584541,-0.7608258213322927,0.7976203657632233
6,40.0,45.0,0.345306125785528,0.5640864509809447,-0.6597161869255987,0.8987300001699171
7,45.0,50.0,0.3636393957955309,0.5830700512999993,-0.5632342896116246,0.9952118974838912
8,50.0,55.0,0.40496242430978235,0.6365362932229284,-0.46025899321768043,1.0981871938778354
9,55.0,60.0,0.4195300201828023,0.676888150036964,-0.35410044740678787,1.2043457396887283
10,60.0,65.0,0.43043920757795623,0.7191493004870104,-0.24140721668093781,1.3170389704145782
11,65.0,70.0,0.4350060931925402,0.765987960220364,-0.12166583796046458,1.4367803491350515
