h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.06506781502094004,0.35063081959387804,-1.1144642853859728,0.4197442025216035
1,15.0,20.0,-0.09340152043595662,0.336972409449957,-0.976717474416916,0.5574910134906601
2,20.0,25.0,-0.11964535234311233,0.3186182634802832,-0.845921001245386,0.6882874866621901
3,25.0,30.0,-0.14236297809095322,0.29952512245569385,-0.7317073648791721,0.802501123028404
4,30.0,35.0,-0.16719551312910866,0.26948785627719596,-0.6037446525950183,0.9304638353125579
5,35.0,40.0,-0.179992174575419,0.24610057151093045,-0.46333211668090235,1.0708763712266738
6,40.0,45.0,-0.18591439382648264,0.22688396279397266,-0.31735717187946716,1.216851316028109
7,45.0,50.0,-0.19198445038449777,0.1910674691959197,-0.16178605026744422,1.3724224376401322
8,50.0,55.0,-0.19619010628577485,0.1689848205159083,0.007896676925105964,1.5421051648326818
9,55.0,60.0,-0.19463888816023162,0.13768214283659805,0.15338597414346328,1.6875944620510392
10,60.0,65.0,-0.1911163433091971,0.10949938670717822,0.3080987167807098,1.8423072046882862
11,65.0,70.0,-0.18324945693847738,0.08371941249897898,0.4741989957211041,2.0084074836286803
