h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.05452348755297787,0.3735965260727353,1.7902387048314057,0.23394375247357957
1,15.0,20.0,0.07372133444072083,0.3824872463165947,1.8883196382875815,0.33202468592975487
2,20.0,25.0,0.09243822895852027,0.39311328333912926,2.013806558568486,0.45751160621065956
3,25.0,30.0,0.10727087517354698,0.40760024388897326,2.1216750934166133,0.5653801410587868
4,30.0,35.0,0.1221379798424638,0.4246244278135927,2.2257279342807683,0.6694329819229422
5,35.0,40.0,0.1345937814285128,0.4442873475032452,2.3265805107573625,0.7702855583995368
6,40.0,45.0,0.14734493351255787,0.46399671466790693,2.431321985443884,0.8750270330860579
7,45.0,50.0,0.166014947411703,0.49134603034248236,2.5348589302594,0.9785639779015735
8,50.0,55.0,0.17848986728244742,0.5016735730591969,2.641191017855937,1.0848960654981106
9,55.0,60.0,0.19081545497168148,0.5334706491680168,2.740846435242066,1.18455148288424
10,60.0,65.0,0.19684247045668196,0.5615810066900522,2.8400131594191707,1.2837182070613447
11,65.0,70.0,0.20056497062846632,0.5899573802329894,2.9383955894305034,1.382100637072677
