h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.4011621825211038,0.2148152394112758,0.9587092590565773,-0.6120846715269143
1,15.0,20.0,0.5192653349887343,0.08687649834805282,0.6479132650327625,-0.9228806655507291
2,20.0,25.0,0.5892813483835895,-0.0782809704023846,0.3468452098759974,-1.223948720707494
3,25.0,30.0,0.6151036401239167,-0.2698866163348902,0.10759735836099846,-1.4631965722224933
4,30.0,35.0,0.609965622570166,-0.4484085044523378,-0.1370819854374128,-1.7078759160209043
5,35.0,40.0,0.5682681016360295,-0.6145481243277273,-0.3891560781221214,-1.9599500087056132
6,40.0,45.0,0.46678308885647873,-0.7477283437647589,-0.6316307364386762,-2.202424667022168
7,45.0,50.0,0.2902941145185853,-0.8628424517067275,-0.8743127336839632,-2.445106664267455
8,50.0,55.0,0.14569206256946707,-0.9386232832823032,-1.0944585846303065,-2.665252515213798
9,55.0,60.0,-0.07402551946970592,-1.0235115079214283,-1.2588823695994724,-2.829676300182964
