h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.5440449678938122,0.576370477934873,-2.390435261588003,-0.9615870332640984
1,15.0,20.0,-0.6045971955422307,0.7483478575957061,-3.0780507919567457,-1.649202563632841
2,20.0,25.0,-0.544795791266624,0.9616233963108042,-3.57113312952565,-2.1422849012017453
3,25.0,30.0,-0.4092821215241598,1.1335793259044493,-3.967346970563714,-2.5384987422398093
4,30.0,35.0,-0.18369203207378149,1.2293653472939323,-4.399807803827583,-2.970959575503678
5,35.0,40.0,0.05455452116359239,1.2397826395834,-4.835038661703246,-3.4061904333793422
6,40.0,45.0,0.22912770635816976,1.1734957560856336,-5.473802091839624,-4.044953863515721
7,45.0,50.0,0.35465027659709564,0.9642428679281054,-5.982768663747915,-4.5539204354240095
8,50.0,55.0,0.4278145419761795,0.7116418204341511,-6.40130855262556,-4.9724603243016565
9,55.0,60.0,0.3411977384689213,0.4456549131656765,-6.8146894755537675,-5.385841247229863
10,60.0,65.0,0.13097172024469822,0.27743054170254733,-7.362300195258496,-5.933451966934593
11,65.0,70.0,-0.10670488550059219,0.21116649186568137,-7.768346202209832,-6.339497973885925
