h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.10963946588922566,0.43029175169343103,3.65264596847303,5.088453855933115
1,15.0,20.0,0.02945841086146214,0.39165893688581066,5.852833546161273,7.288641433621358
2,20.0,25.0,0.036364828372039484,0.4745415008783068,8.051563520045303,9.487371407505385
3,25.0,30.0,-0.025171275930783957,0.3872366958129564,10.23855329853405,11.674361185994135
4,30.0,35.0,0.09522765156985584,0.3664110865238901,12.389437728340976,13.82524561580106
5,35.0,40.0,0.0763343546494916,0.4478653784336548,14.654923560208951,16.09073144766904
6,40.0,45.0,0.04197422932614188,0.30554388768102125,16.77278272422762,18.208590611687704
7,45.0,50.0,0.17093888919449818,0.26516970439490556,18.925842720014806,20.361650607474886
8,50.0,55.0,0.008115226224711636,0.46319397032076937,21.19933422038075,22.635142107840835
9,55.0,60.0,0.015559545559342344,0.028337053067626065,23.334095347830754,24.769903235290837
10,60.0,65.0,0.3359959804980372,0.3345705286368944,25.612869622990345,27.048677510450425
11,65.0,70.0,-0.14933874804920236,0.39531529229262163,27.785675906378906,29.221483793838992
