h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.10589313145264939,0.32620524755671004,-4.4267999688577415,-5.997593889994327
1,15.0,20.0,0.069625735538804,0.3311622679913613,-6.973228621114958,-8.544022542251545
2,20.0,25.0,0.07445819391845836,0.3206098227924316,-9.378645089578598,-10.949439010715187
3,25.0,30.0,0.056655101858892574,0.2817195885372746,-11.928663178470504,-13.499457099607088
4,30.0,35.0,0.07319034928338651,0.3257909549904002,-14.484862490170155,-16.055656411306742
5,35.0,40.0,0.08065483315786012,0.3263785090294945,-16.958935962049164,-18.529729883185745
6,40.0,45.0,0.0292437506809163,0.37278775297903544,-19.541523118490325,-21.112317039626905
7,45.0,50.0,0.04776695576713373,0.29821841698743323,-21.947956977693718,-23.51875089883031
8,50.0,55.0,-0.021422798626702492,0.28348732595292925,-24.439083171875282,-26.009877093011866
9,55.0,60.0,0.0642929352697885,0.3932363647478025,-26.953089273520344,-28.52388319465693
10,60.0,65.0,0.09231977155165544,0.30364739946153896,-29.34919745846396,-30.919991379600543
11,65.0,70.0,-0.013375202136962633,0.39367889174110227,-31.88800168847578,-33.458795609612366
