h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.3286096537611265,0.5103884290772279,7.720116596015422,9.274717268217616
1,15.0,20.0,0.02293510496960064,0.6445694487376282,11.425846778192215,12.980447450394415
2,20.0,25.0,0.4402459189008696,0.7749188941785766,15.43003181073114,16.984632482933343
3,25.0,30.0,0.24303134459636375,0.3617576467582939,19.34077806957499,20.895378741777186
4,30.0,35.0,0.1067197428150827,0.7327181866460362,23.22572440190679,24.780325074108976
5,35.0,40.0,0.46213410961786133,0.6331840694348199,26.907564590341767,28.46216526254396
6,40.0,45.0,0.09296838163399157,0.3849393354188412,30.84764551493415,32.402246187136356
7,45.0,50.0,0.07409295419468802,0.9604018526501644,34.70312735207784,36.25772802428004
8,50.0,55.0,0.423438576414571,0.545234303497638,38.701467006809956,40.256067679012155
9,55.0,60.0,-0.19806616394990736,0.5245647551521465,42.60598783992962,44.16058851213182
10,60.0,65.0,0.21848543344748797,0.8977976664757956,46.62983762031947,48.18443829252165
11,65.0,70.0,0.28529818001799784,0.29827181909406747,50.44034857739471,51.994949249596914
