h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.8406395904590583,0.2466383270300908,-9.914715570691545,-11.282859939115545
1,15.0,20.0,0.3483958425266133,0.4927599264173869,-14.60976221466415,-15.977906583088147
2,20.0,25.0,0.062091592068829124,0.007648899353289082,-19.323923319097954,-20.69206768752196
3,25.0,30.0,0.5310702679089466,-0.23066756735621843,-23.95477430205053,-25.32291867047453
4,30.0,35.0,0.7295824493951314,0.2583892463330177,-28.60004855270703,-29.96819292113103
5,35.0,40.0,0.27712312521407,0.45906209221129207,-33.256408542443374,-34.62455291086738
6,40.0,45.0,0.06448945418899464,0.03415635386881982,-37.885053531373266,-39.25319789979726
7,45.0,50.0,0.5116348044894752,-0.15458166589441022,-42.421748360916354,-43.789892729340366
8,50.0,55.0,0.5621402527470827,0.2955393597011178,-46.94504683895914,-48.31319120738314
9,55.0,60.0,0.12012516589111083,0.29076753211638295,-51.44159578330615,-52.809740151730146
10,60.0,65.0,0.22209785675986385,-0.11277002415174005,-55.9219092201748,-57.290053588598795
11,65.0,70.0,0.5761811638132273,0.07289996118902897,-60.361617846890006,-61.729762215314004
