h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.19930035687918163,0.5268028424106538,-21.647450584248986,-23.051272296261605
1,15.0,20.0,-0.47778288637989064,0.5362969985265738,-30.958130147488852,-32.36195185950147
2,20.0,25.0,-0.30779637730119896,0.5031640871229068,-40.2598316269059,-41.663653338918515
3,25.0,30.0,-0.6384645420759917,0.4429523321654485,-49.25463176324487,-50.65845347525747
4,30.0,35.0,-0.3740929860412564,0.5553901407507976,-58.40849359089813,-59.81231530291074
5,35.0,40.0,-0.5396884317150931,0.3559919438387986,-67.44355363694365,-68.84737534895625
6,40.0,45.0,-0.4347921596760467,0.5991187852197082,-76.56877292130021,-77.97259463331282
7,45.0,50.0,-0.4548196234796212,0.35097859270617493,-85.80488200104479,-87.20870371305742
8,50.0,55.0,-0.43382987456082117,0.47776411049543777,-95.32958321291173,-96.73340492492433
9,55.0,60.0,-0.5523065238712779,0.18578484032017017,-104.55038867772693,-105.95421038973954
10,60.0,65.0,-0.5572101500033423,0.7137555517891889,-113.35313149657776,-114.75695320859036
11,65.0,70.0,-0.429911595185939,0.3788926901794619,-122.50613790763664,-123.90995961964926
