h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.010064567209861543,0.3603366937651018,-1.691246097459242,-0.1257748352734318
1,15.0,20.0,0.0053351759557299224,0.361890340283274,-1.7248979668136812,-0.15942670462787095
2,20.0,25.0,0.004937278357924243,0.3627102744757643,-1.7583098493983131,-0.19283858721250305
3,25.0,30.0,0.0029710269824297212,0.3634495273070711,-1.792792116451102,-0.2273208542652921
4,30.0,35.0,0.001889373768319359,0.3637515474145819,-1.8251947550810852,-0.2597234928952748
5,35.0,40.0,-0.004237549564406897,0.3647865817797438,-1.8614208919880293,-0.2959496298022193
6,40.0,45.0,0.006636920291481119,0.3545192206401323,-1.8917090518641333,-0.3262377896783228
7,45.0,50.0,-0.014950114033960224,0.35213523667687596,-1.9357868594040009,-0.3703155972181905
8,50.0,55.0,-0.017799312113751298,0.35462188982802056,-1.967291903557391,-0.4018206413715805
9,55.0,60.0,-0.018086821180683083,0.35486880138360205,-2.0090973563472385,-0.44362609416142795
10,60.0,65.0,-0.020911674636617278,0.3578433974212855,-2.0440839243799034,-0.4786126621940931
11,65.0,70.0,-0.025779400398816668,0.36047332578984137,-2.0799353869136725,-0.5144641247278623
