h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.0010185882681271374,0.3634061200018603,-1.6181355785354485,-0.07521316029003561
1,15.0,20.0,0.0027085187359183627,0.36179050633141574,-1.6661365187438735,-0.12321410049846086
2,20.0,25.0,0.006480229056612691,0.3607520541463134,-1.710121554964628,-0.16719913671921527
3,25.0,30.0,0.008746629951667492,0.36185906270980334,-1.7437564447385627,-0.20083402649315002
4,30.0,35.0,0.011487183581856084,0.36182167670186943,-1.785506263514423,-0.24258384526901036
5,35.0,40.0,0.014162842437224125,0.36139358989609655,-1.8023560016015245,-0.25943358335611194
6,40.0,45.0,0.021312366965449688,0.35545937757127777,-1.822975826344994,-0.2800534080995815
7,45.0,50.0,0.00824583073156417,0.34569906126036215,-1.8562816504146755,-0.3133592321692628
8,50.0,55.0,0.007066164033393279,0.34540580984524943,-1.8942803358259441,-0.3513579175805316
9,55.0,60.0,0.005572375079664082,0.347349599906402,-1.9284226910976339,-0.38550027285222116
10,60.0,65.0,0.004026046228368265,0.348234532832573,-1.9585233048927027,-0.41560088664728995
11,65.0,70.0,0.0037489940657782993,0.34837920840330816,-1.989671055626511,-0.4467486373810978
