h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07729462055728137,0.5454182631055123,-0.523172639117986,-2.093966561295214
1,15.0,20.0,0.17772997100841662,0.3153741661443635,-1.2412597612645602,-2.8120536834417877
2,20.0,25.0,0.2738537880742016,0.5709209489882751,-2.0515261491857237,-3.6223200713629513
3,25.0,30.0,0.03773486163654564,0.46220073119608185,-2.7949437857697434,-4.3657377079469715
4,30.0,35.0,0.2654865901313068,0.35968975914457546,-3.4520724427024745,-5.022866364879703
5,35.0,40.0,0.08354627426842126,0.5278524288252489,-4.140343792049719,-5.711137714226948
6,40.0,45.0,0.057033460105585465,0.2676577422840318,-4.911851124551972,-6.482645046729199
7,45.0,50.0,0.2625575239184092,0.3795009337963498,-5.66140975188683,-7.232203674064059
8,50.0,55.0,0.09318909740868779,0.42323683690957276,-6.295074239856092,-7.865868162033319
9,55.0,60.0,0.2574262083315612,0.2979450954730209,-7.147031470583172,-8.7178253927604
10,60.0,65.0,0.22850071673232428,0.5239835888876816,-8.100460739000106,-9.671254661177333
11,65.0,70.0,0.02954435417932771,0.39162948445294904,-9.032653524745989,-10.603447446923214
