h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.09169029579811816,0.27924440419301066,-6.494782728844059,-7.7759215888934134
1,15.0,20.0,0.07053635470911579,0.37193530494114,-9.636301185375753,-10.91744004542511
2,20.0,25.0,0.06287448454612281,0.2528927924126512,-12.885802281300032,-14.166941141349389
3,25.0,30.0,0.09851202453330174,0.35016233943773967,-16.126805916890365,-17.407944776939722
4,30.0,35.0,0.08985850422315916,0.24064700355313132,-19.334801721925636,-20.615940581974993
5,35.0,40.0,0.11167320551870111,0.32167178118752515,-22.44608163266188,-23.72722049271123
6,40.0,45.0,0.08526156069497468,0.23726400171802173,-25.610570665227293,-26.891709525276653
7,45.0,50.0,0.13039400942532917,0.2728201490833124,-28.7614884897255,-30.04262734977486
8,50.0,55.0,0.03953407113624503,0.3183409755822731,-31.967454959057267,-33.248593819106624
9,55.0,60.0,0.14922666130619563,0.15792959262479686,-35.11548187885654,-36.3966207389059
10,60.0,65.0,0.0702755211062435,0.3063427261780254,-38.27647301849186,-39.557611878541216
11,65.0,70.0,0.17440138735841443,0.176227762544425,-41.50449367504395,-42.785632535093306
