h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07255318040194568,0.3571004795227757,-1.9541305486310414,-0.394929106490909
1,15.0,20.0,0.09911954530931277,0.3518809828385227,-2.039864431454765,-0.480662989314632
2,20.0,25.0,0.13833441365954902,0.33347966573259924,-2.202137596652602,-0.6429361545124689
3,25.0,30.0,0.15930053803170582,0.3247541084137765,-2.3099629327291678,-0.7507614905890346
4,30.0,35.0,0.1900177530629599,0.299509711072536,-2.4420903770628932,-0.8828889349227604
5,35.0,40.0,0.22360158212656261,0.2591557654690668,-2.5560476586311305,-0.9968462164909973
6,40.0,45.0,0.22801634443473318,0.2369719997389345,-2.6521125494376747,-1.0929111072975422
7,45.0,50.0,0.2488620434010702,0.201091084884655,-2.805862868957295,-1.2466614268171612
8,50.0,55.0,0.264354361403653,0.1726999224160287,-2.9505569768400797,-1.3913555346999464
9,55.0,60.0,0.2771550155094266,0.151114669656988,-3.030491303754466,-1.4712898616143328
10,60.0,65.0,0.2848501244411008,0.13774273752322688,-3.1293776287837396,-1.5701761866436066
11,65.0,70.0,0.28962201158354284,0.1006417394254044,-3.234432638854067,-1.6752311967139344
