h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.036410550137921945,0.3568354459151087,1.560110634476203,-0.0005186403402557449
1,15.0,20.0,0.05415572194005617,0.355434219551487,1.5556685950920104,-0.004960679724447841
2,20.0,25.0,0.07280223039346785,0.35367509504219913,1.5528585795213001,-0.0077706952951585
3,25.0,30.0,0.08833415343181217,0.3518111166113929,1.5423321455316505,-0.018297129284808065
4,30.0,35.0,0.10669279923327794,0.3492064044993841,1.5256880201032599,-0.03494125471319845
5,35.0,40.0,0.13839005579886668,0.33848827769272427,1.5149885044623899,-0.045640770354068626
6,40.0,45.0,0.13737482163689194,0.32893830031242516,1.5145138539488323,-0.046115420867626204
7,45.0,50.0,0.15417969623255337,0.3274456764353439,1.5089231948566055,-0.05170607995985292
8,50.0,55.0,0.17205560459620453,0.32785172505865845,1.5038518267905485,-0.05677744802591003
9,55.0,60.0,0.1892710524340192,0.3282345003812041,1.4944324897963943,-0.06619678502006414
10,60.0,65.0,0.20489147824668713,0.32714489085610315,1.4846068910467634,-0.07602238376969499
11,65.0,70.0,0.21966526944209566,0.32644001955894814,1.4710094914052818,-0.0896197834111765
