h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.18447894692308076,0.13649611141288984,7.175718487231607,8.724908191495508
1,15.0,20.0,0.025509105864906276,0.537220900143851,11.069943691822077,12.619133396085978
2,20.0,25.0,0.46528133304190433,0.3215305898747979,15.028334615432891,16.577524319696796
3,25.0,30.0,0.07650405158666101,0.1575538835342615,18.892501002284064,20.441690706547966
4,30.0,35.0,0.3016282601469609,0.5497642802356352,22.908500488998627,24.45769019326253
5,35.0,40.0,0.49927671350195013,0.14000337691021375,26.771233446449806,28.320423150713705
6,40.0,45.0,0.11125583410183827,0.3142758422611936,30.722936971892718,32.272126676156624
7,45.0,50.0,0.4459136603692065,0.5777882865118746,34.82144307990243,36.37063278416633
8,50.0,55.0,0.6200700077769552,0.20678734411258673,38.67301005033422,40.22219975459812
9,55.0,60.0,0.1702701110846489,0.3346929818650568,42.70681004357044,44.25599974783433
10,60.0,65.0,0.5232787200250958,0.6405418610742725,46.51787631124002,48.067066015503926
11,65.0,70.0,0.38938131672733517,0.20164622541599145,50.45934552122351,52.00853522548741
