h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.9078691280891387,0.21464599731304265,-9.525514099493257,-10.970600440156522
1,15.0,20.0,0.4372244337722905,0.6282585880039248,-14.298957222684844,-15.744043563348109
2,20.0,25.0,0.041973811732524,0.19793532978785694,-19.009421774755314,-20.45450811541858
3,25.0,30.0,0.48369776908453443,-0.19578799071631076,-23.755690091024363,-25.20077643168763
4,30.0,35.0,0.8637509969824687,0.22807116473052563,-28.40930430394704,-29.85439064461031
5,35.0,40.0,0.4449832287477171,0.5947257337305162,-33.0540381104269,-34.49912445109017
6,40.0,45.0,0.12592824283680862,0.12894129531894746,-37.76675295669284,-39.21183929735611
7,45.0,50.0,0.5526965425678716,-0.27784818140057693,-42.65269837035428,-44.09778471101757
8,50.0,55.0,1.0662437361797616,0.11241155327315462,-47.475047111667344,-48.92013345233061
9,55.0,60.0,0.7563793066263865,0.5817330420866779,-52.21636677658696,-53.66145311725022
10,60.0,65.0,0.32020273631038343,0.27055365967544315,-56.90158580864591,-58.346672149309185
11,65.0,70.0,0.6447992866938728,-0.17891016580290167,-61.612819672822155,-63.057906013485415
