h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.6575378077103479,0.20838803727590574,2.129640633376262,0.573326805705846
1,15.0,20.0,-0.9011361733307034,0.0881712751116589,2.253605595311786,0.6972917676413702
2,20.0,25.0,-1.0998686405023992,-0.0611831481771882,2.343263133867895,0.7869493061974794
3,25.0,30.0,-1.2777570964176652,-0.24234007698008395,2.463370976188918,0.9070571485185026
4,30.0,35.0,-1.4363463084085737,-0.48421793434046,2.5345533792338957,0.97823955156348
5,35.0,40.0,-1.5972899734093888,-0.7431929956003316,2.509484541788635,0.9531707141182189
6,40.0,45.0,-1.7566883916658664,-1.0021418158348927,2.5664526972669552,1.0101388695965396
7,45.0,50.0,-1.8378540687854283,-1.349113807892875,2.6606736122352754,1.1043597845648596
8,50.0,55.0,-1.851967849192722,-1.6334260125011986,2.6852821071495363,1.128968279479121
9,55.0,60.0,-1.9649934076343718,-1.9056843701367228,2.745056280777744,1.1887424531073283
10,60.0,65.0,-2.0500050967843424,-2.1799757329930003,2.8719415122169134,1.315627684546498
11,65.0,70.0,-2.103485682509861,-2.4658455221793165,3.011563619907136,1.45524979223672
