h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.8485227154100694,0.4772037927038826,-9.89009836962498,-11.448227066656429
1,15.0,20.0,0.32648760859241377,0.6505497485331375,-14.636437147801955,-16.194565844833402
2,20.0,25.0,0.126244985619688,0.13972268318576403,-19.34630862194836,-20.90443731897981
3,25.0,30.0,0.47427229538516336,-0.0857963917061933,-23.68545641462229,-25.243585111653744
4,30.0,35.0,0.2950605099611215,0.22856210044819544,-27.925445144879856,-29.4835738419113
5,35.0,40.0,-0.24541280923380096,-0.010609240287229777,-32.754201385610216,-34.312330082641665
6,40.0,45.0,-0.0975738864119447,-0.6029066826315674,-37.63766312075589,-39.19579181778735
7,45.0,50.0,0.4630796520300352,-0.5592183721777717,-42.4654283385606,-44.023557035592056
8,50.0,55.0,0.4779986121869601,-0.08193809189933715,-47.200174669135286,-48.75830336616673
9,55.0,60.0,0.062238845989801554,0.08985304534402813,-51.70986074133625,-53.267989438367685
10,60.0,65.0,0.21848885776502824,-0.23471596846902817,-56.21937710779846,-57.7775058048299
11,65.0,70.0,0.6652415952368729,-0.1061852191368336,-60.96603232406241,-62.52416102109387
