h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.015588076053949377,0.3749576513809781,1.5866368201735372,0.0382838426577505
1,15.0,20.0,-0.013958278261835743,0.37715703639728987,1.5843295200221639,0.03597654250637687
2,20.0,25.0,-0.013090376645289541,0.37926451473919875,1.58244617527855,0.03409319776276298
3,25.0,30.0,-0.01252499479977211,0.3813243055282396,1.5807897609025414,0.032436783386754445
4,30.0,35.0,-0.012460180189792417,0.3833867763843151,1.579321196068949,0.030968218553161894
5,35.0,40.0,-0.011642099029295085,0.38546499536651624,1.5779864555130902,0.02963347799730349
6,40.0,45.0,-0.009660616567191277,0.38743623193831406,1.5768061162378526,0.02845313872206617
7,45.0,50.0,-0.00972438788949132,0.38870891707190663,1.5758027629208953,0.02744978540510875
8,50.0,55.0,0.0021838317408801318,0.369170880569417,1.5749188076927618,0.026565830176975055
9,55.0,60.0,-0.029745662787927167,0.2922600639798841,1.5741470422647437,0.02579406474895629
10,60.0,65.0,-0.009672123598641563,0.21973600229065718,1.57350728312439,0.025154305608602857
11,65.0,70.0,0.08312410350222325,0.2528277641413653,1.5296526395893206,-0.018700337926466064
