h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.10192330590301596,0.3494545231768177,1.48340023387148,-0.0873936869729259
1,15.0,20.0,0.1553281627181285,0.3478776576311411,1.4731804476096937,-0.09761347323471224
2,20.0,25.0,0.20723876446987355,0.3436777314465428,1.4671694558125297,-0.10362446503187663
3,25.0,30.0,0.25993708889475914,0.3425943615546072,1.4574417060839615,-0.1133522147604447
4,30.0,35.0,0.3121618924793575,0.3378973714178215,1.449607179584916,-0.12118674125949042
5,35.0,40.0,0.36213032473780793,0.3302317457282055,1.442410698691617,-0.1283832221527889
6,40.0,45.0,0.4116495483316877,0.3263917631330556,1.426620542305626,-0.14417337853878012
7,45.0,50.0,0.45893040961312076,0.3198406662206431,1.412747797561569,-0.15804612328283688
8,50.0,55.0,0.5293229310442098,0.3034695104070772,1.3987839268367253,-0.17200999400768055
9,55.0,60.0,0.5433772044484817,0.28248768961680015,1.384020901703362,-0.18677301914104427
10,60.0,65.0,0.6149053671463283,0.2678783007413994,1.3789403917278602,-0.19185352911654607
11,65.0,70.0,0.6700880893442721,0.25676731836699335,1.3744661744173936,-0.19632774642701253
