time,motor_with_onshape_mounting_x,motor_with_onshape_mounting_y,motor_with_onshape_mounting_2_x,motor_with_onshape_mounting_2_y,motor_with_onshape_mounting_3_x,motor_with_onshape_mounting_3_y,motor_with_onshape_mounting_4_x,motor_with_onshape_mounting_4_y,motor_with_onshape_mounting_5_x,motor_with_onshape_mounting_5_y,motor_with_onshape_mounting_6_x,motor_with_onshape_mounting_6_y,motor_with_no_arms_x,motor_with_no_arms_y,com_x,com_y
0.000000,,,,,,,,,,,,,,,,
0.015000,,,,,,,,,,,,,,,,
0.065000,,,,,,,,,,,,,,,,
0.115000,,,,,,,,,,,,,,,,
0.165000,,,,,,,,,,,,,,,,
0.215000,,,,,,,,,,,,,,,,
0.265000,,,,,,,,,,,,,,,,
0.315000,,,,,,,,,,,,,,,,
0.365000,,,,,,,,,,,,,,,,
0.415000,,,,,,,,,,,,,,,,
0.465000,,,,,,,,,,,,,,,,
0.515000,,,,,,,,,,,,,,,,
0.565000,,,,,,,,,,,,,,,,
0.615000,,,,,,,,,,,,,,,,
0.665000,,,,,,,,,,,,,,,,
0.715000,,,,,,,,,,,,,,,,
0.765000,,,,,,,,,,,,,,,,
0.815000,,,,,,,,,,,,,,,,
0.865000,,,,,,,,,,,,,,,,
0.915000,,,,,,,,,,,,,,,,
0.965000,,,,,,,,,,,,,,,,
1.015000,,,,,,,,,,,,,,,,
1.065000,,,,,,,,,,,,,,,,
1.115000,,,,,,,,,,,,,,,,
1.165000,,,,,,,,,,,,,,,,
1.215000,,,,,,,,,,,,,,,,
1.265000,,,,,,,,,,,,,,,,
1.315000,,,,,,,,,,,,,,,,
1.365000,,,,,,,,,,,,,,,,
1.415000,,,,,,,,,,,,,,,,
1.465000,,,,,,,,,,,,,,,,
1.515000,,,,,,,,,,,,,,,,
1.565000,,,,,,,,,,,,,,,,
1.615000,,,,,,,,,,,,,,,,
1.665000,,,,,,,,,,,,,,,,
1.715000,-0.008172186502376517,-0.00213846869124358,-0.001691415013603861,0.10314030807110762,-0.0003048753957741925,0.2231322973889734,0.0087224884024683,0.34279226018547376,0.010109482884555621,0.46278424424640596,0.01913639307567462,0.5824442412629891,0.020523842422013057,0.7024362200652632,0.004079317232493959,0.3591331482644215
1.765000,-0.0068163964856557055,-0.002262918769538144,-0.0015903779995425377,0.1029880603050735,0.0017815559814764945,0.22294067620486852,0.008854539460505914,0.3427320486182206,0.01222693076742338,0.462684651661461,0.019299457531716156,0.5824760510402871,0.02267230616476556,0.7024286412252209,0.0060055259112612395,0.3591278622463423
1.815000,-0.0050631474579264524,-0.0023937878198278437,-0.0017695500433434009,0.10295509856309983,0.0035252108427141207,0.22283823126687058,0.00864840612752876,0.3427288183447585,0.013943624917725977,0.4626119308238482,0.01906636226824755,0.5825025374694267,0.024362038961859993,0.7023856297221149,0.00597355104704487,0.3590984485175043
1.865000,-0.004139700299339345,-0.002386889415974026,-0.002055595074855035,0.10292044499281276,0.005302519232475902,0.22269464151715182,0.008535041060352362,0.34265109529364574,0.01589361181759768,0.462425263775924,0.019125676498515334,0.582381729870496,0.026484703704710684,0.7021558703090266,0.0077235536162061705,0.35902641540166996
1.915000,-0.0028734209534309447,-0.002213982845151554,-0.002621731587199425,0.1029798184939091,0.00672797445681759,0.2226150265093125,0.008097066666100973,0.34260721619556134,0.01744722590536313,0.46224238879208,0.018815863564324332,0.5822345836638159,0.028166475998062844,0.7018697208397827,0.009121973689106298,0.3589502406688757
1.965000,-0.0023400500812314584,-0.0020685953706241003,-0.003137355656671713,0.10315993687682257,0.008213884470786017,0.22262185276016988,0.007682910243258099,0.34262067803002194,0.019034598253252977,0.46208255135483967,0.018503174125387056,0.5820813746331163,0.029855310017634605,0.701543205397737,0.008857270029172129,0.35897940404092765
2.015000,-0.0017653249996350431,-0.0016057252976868683,-0.004241500217061269,0.10339318897860598,0.009184453275748683,0.22263975610557987,0.00695630333987561,0.34261906826983757,0.0203826976758777,0.4618655857615153,0.01815410417222923,0.5818448896874031,0.03158093935319567,0.7010913575419351,0.010062575236220549,0.35894675169257023
2.065000,-0.0007897958629725998,-0.0012787938439345948,-0.004941205844217467,0.10378049546519483,0.010520597051876907,0.22278021244631302,0.00654528680514958,0.34271434814383056,0.022007521460828693,0.46171400902501114,0.01803177604623885,0.5816481302977593,0.03349444246288847,0.7006477350772289,0.010162814371996077,0.35903909187824423
