h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.07712889421516217,0.3576432815012089,1.4881320138919072,-0.08266192110977498
1,15.0,20.0,0.11051918955526258,0.3545948503323823,1.473989529937547,-0.09680440506413497
2,20.0,25.0,0.14402268426272855,0.35223772314060864,1.4670275990959387,-0.10376633590574283
3,25.0,30.0,0.17685651612776723,0.34848996341486305,1.4543225926485763,-0.11647134235310587
4,30.0,35.0,0.2084056638100905,0.3414722359667536,1.4412037831872526,-0.12959015181442926
5,35.0,40.0,0.2391730138320928,0.3337847562538245,1.423106406087293,-0.14768752891438897
6,40.0,45.0,0.25639056171815366,0.3255515051694216,1.4132284644030022,-0.15756547059867992
7,45.0,50.0,0.3008622736854009,0.31691549236640326,1.4048337140982736,-0.16596022090340834
8,50.0,55.0,0.33561758219358173,0.31110482300316294,1.3911173507216694,-0.17967658428001293
9,55.0,60.0,0.3710537558904671,0.30685185225691813,1.3775073813132355,-0.19328655368844638
10,60.0,65.0,0.40407432047991215,0.29969097008433976,1.3696947024065917,-0.20109923259509008
11,65.0,70.0,0.4388135786993612,0.2925177881328465,1.3595082040218178,-0.21128573097986394
