h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,-0.09874824983225511,0.3641677199843617,1.4043299249574912,-0.16646399575580997
1,15.0,20.0,-0.1393074791596731,0.3702112104282254,1.3410624251181562,-0.22973149559514502
2,20.0,25.0,-0.17873530618827158,0.3778506118341633,1.280698794814858,-0.2900951258984433
3,25.0,30.0,-0.2153735071225441,0.38885424376378774,1.2178015435419831,-0.35299237717131793
4,30.0,35.0,-0.2530365783832682,0.4013935156760302,1.166255761338589,-0.40453815937471205
5,35.0,40.0,-0.2887657043539016,0.416835422612496,1.103662066159985,-0.46713185455331624
6,40.0,45.0,-0.33711020181038015,0.44085110529814175,1.0484686440179762,-0.5223252766953252
7,45.0,50.0,-0.3678437868572288,0.4510956511945355,0.9949022996046939,-0.5758916211086074
8,50.0,55.0,-0.4015455571507033,0.465666904868503,0.9390292249247778,-0.6317646957885235
9,55.0,60.0,-0.4330724481707927,0.489278984824948,0.8813742535977401,-0.6894196671155612
10,60.0,65.0,-0.4651832579757727,0.513204081552593,0.8064170355173232,-0.7643768851959781
11,65.0,70.0,-0.4966367151258551,0.5426485307429568,0.7368035899809923,-0.833990330732309
