h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.0016379643951873976,0.34762354668254214,-1.205551303938893,0.3280246104157424
1,15.0,20.0,-0.0030254067282757383,0.344108406846612,-1.0652061852380454,0.4683697291165899
2,20.0,25.0,-0.005682571106528047,0.3388005720398432,-0.9274838934200846,0.6060920209345505
3,25.0,30.0,-0.005671190430194244,0.3325944906874112,-0.801586088972253,0.731989825382382
4,30.0,35.0,-0.0058314536111886365,0.3259850595236409,-0.67367070210625,0.859905212248385
5,35.0,40.0,-0.005560753477911233,0.31769017662965043,-0.5434327288586994,0.9901431854959358
6,40.0,45.0,-0.007390245061482261,0.304528615589191,-0.4070181813854484,1.1265577329691867
7,45.0,50.0,-0.009866669669171052,0.28545959939769794,-0.29543577453862424,1.238140139816011
8,50.0,55.0,0.0012877461700241532,0.2731841738765686,-0.16843327363317134,1.3651426407214635
9,55.0,60.0,0.010452673264561039,0.27996092511826604,-0.039331888141249015,1.4942440262133863
10,60.0,65.0,0.01077495832209853,0.278651153936313,0.09215783120851405,1.6257337455631495
11,65.0,70.0,0.014438878584760813,0.27634969004515264,0.22574672413368574,1.759322638488321
